example,n_pattern,n_target,k,density,max_multiplicity,approx_time,exact_time,approx_cost,exact_cost,accuracy_ratio,exact_timed_out
test_015_n4_m9_d20_mult1.txt,4,9,2,0.3,2,0.002268666052259505,,4,,,True
test_015_n4_m9_d20_mult1.txt,4,9,3,0.3,2,0.0022319580893963575,,6,,,True
test_015_n4_m9_d20_mult1.txt,4,9,4,0.3,2,0.00233141693752259,,8,,,True
test_015_n4_m9_d20_mult1.txt,4,9,5,0.3,2,0.0023420420475304127,,10,,,True
test_024_n6_m9_d50_mult4.txt,6,9,1,0.3,2,0.0022325830068439245,,32,,,True
test_024_n6_m9_d50_mult4.txt,6,9,2,0.3,2,0.0021600419422611594,,64,,,True
test_024_n6_m9_d50_mult4.txt,6,9,3,0.3,2,0.002432375098578632,,96,,,True
test_024_n6_m9_d50_mult4.txt,6,9,4,0.3,2,0.002516165957786143,,128,,,True
test_024_n6_m9_d50_mult4.txt,6,9,5,0.3,2,0.0022180830128490925,,160,,,True
test_030_n8_m9_d60_mult2.txt,8,9,1,0.3,2,0.002363207982853055,,46,,,True
test_030_n8_m9_d60_mult2.txt,8,9,2,0.3,2,0.002651000046171248,,92,,,True
test_030_n8_m9_d60_mult2.txt,8,9,3,0.3,2,0.0025391250383108854,,138,,,True
test_030_n8_m9_d60_mult2.txt,8,9,4,0.3,2,0.0022493749856948853,,184,,,True
test_030_n8_m9_d60_mult2.txt,8,9,5,0.3,2,0.0024508750066161156,,230,,,True
scale_1001_n4_m10.txt,4,10,1,0.3,2,0.0027636669110506773,,10,,,True
scale_1001_n4_m10.txt,4,10,2,0.3,2,0.0023423749953508377,,20,,,True
scale_1001_n4_m10.txt,4,10,3,0.3,2,0.0022585000842809677,,30,,,True
scale_1001_n4_m10.txt,4,10,4,0.3,2,0.002532582962885499,,40,,,True
scale_1001_n4_m10.txt,4,10,5,0.3,2,0.002626792062073946,,50,,,True
test_000_n8_m10_d20_mult3.txt,8,10,1,0.3,2,0.002431875094771385,,18,,,True
test_000_n8_m10_d20_mult3.txt,8,10,2,0.3,2,0.0022715419763699174,,36,,,True
test_000_n8_m10_d20_mult3.txt,8,10,3,0.3,2,0.002385833067819476,,54,,,True
test_000_n8_m10_d20_mult3.txt,8,10,4,0.3,2,0.003251457936130464,,72,,,True
test_000_n8_m10_d20_mult3.txt,8,10,5,0.3,2,0.0027473329100757837,,90,,,True
test_002_n3_m10_d50_mult3.txt,3,10,1,0.3,2,0.0025877919979393482,,6,,,True
test_002_n3_m10_d50_mult3.txt,3,10,2,0.3,2,0.0023701670579612255,,12,,,True
test_002_n3_m10_d50_mult3.txt,3,10,3,0.3,2,0.0023974579526111484,,18,,,True
test_002_n3_m10_d50_mult3.txt,3,10,4,0.3,2,0.002408916945569217,,24,,,True
test_002_n3_m10_d50_mult3.txt,3,10,5,0.3,2,0.002115874900482595,,30,,,True
test_010_n8_m10_d20_mult3.txt,8,10,1,0.3,2,0.0023525001015514135,,22,,,True
test_010_n8_m10_d20_mult3.txt,8,10,2,0.3,2,0.0023677910212427378,,44,,,True
test_010_n8_m10_d20_mult3.txt,8,10,3,0.3,2,0.0024474579840898514,,66,,,True
test_010_n8_m10_d20_mult3.txt,8,10,4,0.3,2,0.0022775420220568776,,88,,,True
test_010_n8_m10_d20_mult3.txt,8,10,5,0.3,2,0.002315834048204124,,110,,,True
test_020_n5_m10_d40_mult4.txt,5,10,1,0.3,2,0.0022854169365018606,,26,,,True
